Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2024-06-19,57764.8203125,65300.0,66000.0,65100.0,66000.0,6211000,1.0
2024-06-20,58384.04296875,66000.0,66800.0,65200.0,65400.0,4397100,1.0
2024-06-21,58384.04296875,66000.0,67100.0,66000.0,66500.0,4023700,1.0
2024-06-24,57941.73828125,65500.0,66600.0,65300.0,66100.0,3871900,3.0
2024-06-25,57941.73828125,65500.0,66200.0,65500.0,65800.0,3680600,1.0
2024-06-26,57676.35546875,65200.0,65800.0,65100.0,65800.0,2599300,1.0
2024-06-27,57764.8203125,65300.0,65600.0,65100.0,65200.0,2755400,1.0
2024-06-28,57941.73828125,65500.0,66000.0,65300.0,65500.0,2821700,1.0
2024-07-01,58384.04296875,66000.0,66000.0,65300.0,65800.0,1909300,3.0
2024-07-02,58560.96484375,66200.0,66300.0,65800.0,66000.0,2042800,1.0
2024-07-03,58560.96484375,66200.0,66300.0,66000.0,66200.0,1437600,1.0
2024-07-04,58737.8828125,66400.0,66900.0,66300.0,66300.0,2688900,1.0
2024-07-05,59445.56640625,67200.0,67500.0,66400.0,66400.0,4285100,1.0
2024-07-08,59799.4140625,67600.0,67700.0,67000.0,67300.0,4942400,3.0
2024-07-09,59710.953125,67500.0,67800.0,67200.0,67600.0,5045200,1.0
2024-07-10,59091.7265625,66800.0,67800.0,66800.0,67500.0,3991700,1.0
2024-07-11,58649.42578125,66300.0,67000.0,66300.0,66900.0,3787100,1.0
2024-07-12,58649.42578125,66300.0,66600.0,66100.0,66400.0,2189900,1.0
2024-07-15,58560.96484375,66200.0,66900.0,66200.0,66300.0,2155300,3.0
2024-07-16,58472.50390625,66100.0,66700.0,66100.0,66400.0,2243700,1.0
2024-07-17,58118.65625,65700.0,66500.0,65600.0,66200.0,3464800,1.0
2024-07-18,58295.58203125,65900.0,66000.0,65500.0,66000.0,2363000,1.0
2024-07-19,57764.8203125,65300.0,65900.0,65100.0,65900.0,3412700,1.0
2024-07-22,57853.2734375,65400.0,66000.0,65200.0,65300.0,2654800,3.0
2024-07-23,58295.58203125,65900.0,66300.0,65500.0,65600.0,3777800,1.0
2024-07-24,58030.19921875,65600.0,66100.0,65600.0,65800.0,3913500,1.0
2024-07-25,58030.19921875,65600.0,65700.0,65300.0,65600.0,1957600,1.0
2024-07-26,58207.12109375,65800.0,66200.0,65400.0,65400.0,3275400,1.0
2024-07-29,59445.56640625,67200.0,67600.0,65900.0,66200.0,5781800,3.0
2024-07-30,59887.87109375,67700.0,68400.0,66900.0,67300.0,6465600,1.0
2024-07-31,63337.8359375,71600.0,72000.0,68500.0,68500.0,21564900,1.0
2024-08-01,62187.8515625,70300.0,71900.0,70100.0,71800.0,8955800,1.0
2024-08-02,63249.375,71500.0,71900.0,70000.0,70000.0,10290200,1.0
2024-08-05,61391.70703125,69400.0,71200.0,68500.0,71000.0,12245500,3.0
2024-08-06,64310.90234375,72700.0,73300.0,70000.0,70300.0,13950400,1.0
2024-08-07,65283.9765625,73800.0,73800.0,72400.0,73200.0,10740700,1.0
2024-08-08,64310.90234375,72700.0,74400.0,72200.0,73900.0,7608800,1.0
2024-08-09,64841.671875,73300.0,73400.0,72500.0,72800.0,4527500,1.0
2024-08-12,64576.28515625,73000.0,74400.0,72800.0,73300.0,5804000,3.0
2024-08-13,65283.9765625,73800.0,74400.0,72700.0,72800.0,6834400,1.0
2024-08-14,65460.89453125,74000.0,74100.0,73300.0,74000.0,5456225,1.0
2024-08-15,65283.9765625,73800.0,74600.0,73700.0,74000.0,4255830,1.0
2024-08-16,65283.9765625,73800.0,74100.0,73200.0,74000.0,7392917,1.0
2024-08-19,67230.109375,76000.0,76000.0,73800.0,74000.0,7917931,3.0
2024-08-20,66876.265625,75600.0,76200.0,75300.0,76000.0,4177349,1.0
2024-08-21,66610.890625,75300.0,76100.0,75100.0,75200.0,3991045,1.0
2024-08-22,65637.8203125,74200.0,76000.0,73600.0,76000.0,6025954,1.0
2024-08-23,66257.0390625,74900.0,75600.0,74400.0,74900.0,3307633,1.0
2024-08-26,64930.12890625,73400.0,75000.0,73300.0,74900.0,6324827,3.0
2024-08-28,65372.43359375,73900.0,74000.0,73200.0,73600.0,3352840,2.0
2024-08-29,65018.58984375,73500.0,74000.0,73400.0,73700.0,2042980,1.0
2024-08-30,65372.43359375,73900.0,74800.0,73400.0,73600.0,3675800,1.0
2024-09-04,65726.2734375,74300.0,74500.0,73100.0,73300.0,2839125,5.0
2024-09-05,66080.125,74700.0,75400.0,74100.0,74300.0,5857542,1.0
2024-09-06,66699.34375,75400.0,75500.0,74800.0,74900.0,3641800,1.0
2024-09-09,66168.578125,74800.0,75100.0,74200.0,75100.0,2638800,3.0
2024-09-10,66257.0390625,74900.0,75500.0,74300.0,74800.0,3332434,1.0
2024-09-11,65991.65625,74600.0,75100.0,73900.0,74800.0,3165231,1.0
2024-09-12,66080.125,74700.0,75200.0,74400.0,75000.0,2052124,1.0
2024-09-13,64487.828125,72900.0,74800.0,72900.0,74800.0,5347113,1.0
2024-09-16,63603.2265625,71900.0,73000.0,71900.0,73000.0,4034700,3.0
2024-09-17,64930.12890625,73400.0,73400.0,71700.0,72000.0,2526732,1.0
2024-09-18,64841.671875,73300.0,73900.0,73000.0,73600.0,2845344,1.0
2024-09-19,64841.671875,73300.0,73500.0,73000.0,73300.0,1572742,1.0
2024-09-20,64310.90234375,72700.0,74000.0,72700.0,73500.0,6555403,1.0
2024-09-23,64487.828125,72900.0,73200.0,72600.0,73100.0,2997201,3.0
2024-09-24,64350.5234375,70300.0,71000.0,70100.0,71000.0,2199514,1.0
